claim,claim_label,topic,date_published,count,count2,focus,release
A President Trump supporter kicked a Muslim woman in the stomach and killed her unborn twins.,450,crime,8-Feb-17,8,2.828427125,crime,8-Feb-17
A 'purge' event is planned for 9 July 2016 in Baton Rouge.            ,150,crime,7-Jul-16,3,1.732050808,crime,7-Jul-16
A rare black rose grows naturally in Turkey.            ,150,fauxtography,27-May-16,6,2.449489743,fauxtography,27-May-16
A rare 'marbled fuark' was captured on camera in Eastern Cambodia.            ,150,fauxtography,29-Aug-16,4,2,fauxtography,29-Aug-16
A record number of people were deported from the U.S. during Barack Obama's tenure as President.,450,political_news,20-Oct-16,5,2.236067977,political_news,20-Oct-16
"A Republican lawmaker proposed introducing ""hunger tests"" before issuing food stamps.            ",150,fake_news,16-Feb-16,3,1.732050808,fake_news,16-Feb-16
A resident of East Texas shared his opinion of the Black Lives Matter movement.            ,750,viral_phenomena,26-Sep-16,5,2.236067977,viral_phenomena,26-Sep-16
"A restaurant customer named Jason Naglich wroteÂ ""Tip for U.S. Citizens Only"" on his bill and stiffed his waitress.            ",0,viral_phenomena,20-Nov-15,7,2.645751311,viral_phenomena,20-Nov-15
A restaurant in South Africa was shut down for serving human meat.,150,fake_news,15-Mar-17,10,3.16227766,fake_news,15-Mar-17
"A riot broke out after a woman accidentally defecated while administering ""vodka butt shots"" on New Year's Eve.            ",150,fake_news,5-Jan-16,11,3.31662479,fake_news,5-Jan-16
A Russian flag was flown at the Texas State Capitol in celebration of Donald Trump's election.,450,politics,19-Dec-16,10,3.16227766,politics,19-Dec-16
A Russian sex worker said Donald Trump was one of her clients and that he has a small penis.,150,fake_news,17-Jan-17,4,2,fake_news,17-Jan-17
A Rutgers University professor was forced into a psychological evaluation due to political tweets.,450,politics,17-Nov-16,7,2.645751311,politics,17-Nov-16
A San Francisco tech company is a front for the web site that accused Julian Assange of pedophilia.,150,political_news,19-Oct-16,2,1.414213562,political_news,19-Oct-16
A Saturday Night Live writer was suspended for tweeting about Trump's youngest child.,750,entertainment,24-Jan-17,2,1.414213562,entertainment,24-Jan-17
"A Saudi billionaire purchased Buford, Wyoming and is planning on constructing a western Mecca.",150,fake_news,27-Jan-16,3,1.732050808,fake_news,27-Jan-16
A school of killer whales attacked and ate 16 crew members of a Japanese whaling boat.            ,150,political_news,5-Aug-14,1,1,political_news,5-Aug-14
A scientist missing for over 20 years was found living in a secret drug lab in a Minnesota couple's basement.,150,media_matters,18-May-15,3,1.732050808,media_matters,18-May-15
A screen shot from a World Cup match shows team country codes spelling out a racial pejorative.            ,150,fauxtography,25-Jun-14,3,1.732050808,fauxtography,25-Jun-14
A sea monster of giant size was spotted near Antarctica.            ,150,fauxtography,20-Jun-16,3,1.732050808,fauxtography,20-Jun-16
A secret tape recorded aboard the doomed space shuttle Challenger captured the final panic-stricken moments of the crew.            ,150,horrors,22-Feb-01,1,1,horrors,22-Feb-01
A series of photographs shows  frozen waves off the coast of Nantucket.            ,750,fauxtography,28-Jan-16,6,2.449489743,fauxtography,28-Jan-16
A shelter rented dogs for embarrassed adult Pokemon Go players and raked in tons of cash before all their dogs were swiftly adopted.            ,300,viral_phenomena,21-Jul-16,1,1,viral_phenomena,21-Jul-16
"A sheriff in Carter County, Oklahoma issued a public letter urging citizens to arm themselves following a mass shooting in San Bernardino, California.            ",750,politics,17-Dec-15,3,1.732050808,politics,17-Dec-15
"A single eruption from a volcano puts more than 10,000  times the amount of carbon dioxide into the atmosphere than all of mankind has produced.            ",150,politics,16-Dec-15,4,2,politics,16-Dec-15
A small business in Canada is offering jobs and free land to Americans looking to relocate in the event of a Donald Trump or Hillary Clinton presidency.            ,450,politics,21-Sep-16,3,1.732050808,politics,21-Sep-16
"A Smithsonian employee was arrested for ""raping"" a mummy.            ",150,fake_news,12-Feb-16,4,2,fake_news,12-Feb-16
"A soldier returning from deployment discovered his wife had died during his absence, and their children had starved to death.  ",750,horrors,1-Oct-10,1,1,horrors,1-Oct-10
A somber image shows a man whose wife and two children were killed in a car accident.            ,150,fauxtography,5-Dec-16,2,1.414213562,fauxtography,5-Dec-16
A South Carolina high school principal banned U.S. flags from football games.            ,300,politics,29-Aug-16,5,2.236067977,politics,29-Aug-16
"A Spanish fisherman survived in a whale's belly for three days before being ""flushed out"" alive.",150,fake_news,3-Sep-16,7,2.645751311,fake_news,3-Sep-16
A special property of the equinox allows eggs (or brooms) to be balanced on their ends that day.  ,150,science,17-Mar-99,1,1,science,17-Mar-99
"A Spirit Airlines employee was rude toÂ a soldier, charged him for a carry-on bag, and told his father thatÂ the airline ""doesn't cater to the military.""            ",0,politics,2-Nov-15,8,2.828427125,politics,2-Nov-15
A Star Wars trading card was altered to depict the droid C-3PO with an oversized penis. [Urban Legend],0,entertainment,16-Aug-07,1,1,entertainment,16-Aug-07
A statement reproduces Hillary Clinton's response when asked to identify her major accomplishments as Secretary of State.            ,150,political_news,30-Jul-14,2,1.414213562,political_news,30-Jul-14
A step-dad refused to pay for his daughter's wedding at the last minute because she allowed her biological father back into her life.            ,300,viral_phenomena,27-Oct-15,5,2.236067977,viral_phenomena,27-Oct-15
A store in a Houston shopping closed on September 11 to honor one of the 9/11 hijackers.            ,150,september_11th,18-Sep-09,1,1,september_11th,18-Sep-09
"A stranger who stopped to change a tire on a disabled limo was rewarded for his efforts when the vehicle's passenger, Donald Trump, paid off his mortgage.            ",150,luck,3-Mar-98,1,1,luck,3-Mar-98
A student mistook examples of unsolved statistics problems for  a homework assignment and solved them.            ,750,college,4-Dec-96,2,1.414213562,college,4-Dec-96
A study discovered men's beards are alarmingly riddled with fecal microbes.            ,150,viral_phenomena,5-May-15,6,2.449489743,viral_phenomena,5-May-15
A study found that 80 percent of black men in Georgia were homosexual.            ,150,fake_news,19-Feb-16,4,2,fake_news,19-Feb-16
A study has determined that Nutella brand spread includes a known carcinogen among its ingredients.            ,150,medical,16-Jan-17,9,3,medical,16-Jan-17
A study performed at the Los Alamos National Laboratory found that millimeter wave body scanners commonly used by airport security can alter your DNA.,150,science,24-Feb-17,12,3.464101615,science,24-Feb-17
"A study proved e-cigarette use (or vaping) leads to an incurable condition known as ""popcorn lung.""            ",300,medical,8-Aug-16,11,3.31662479,medical,8-Aug-16
A study proved you're thousands of times more likely to be killed by a doctor than a gun in the United States.            ,150,politics,7-Jan-16,7,2.645751311,politics,7-Jan-16
A study showed 69% of all store-bought extra virgin olive oils in the US are 'probably fake.'            ,450,food,4-Mar-15,2,1.414213562,food,4-Mar-15
A stuntman was killed during the filming of the chariot race scene in the 1959 version of 'Ben-Hur' and that his death was left in the final cut.,150,entertainment,12-Jul-97,1,1,entertainment,12-Jul-97
A Swedish woman found a long-lost wedding ring in her carrot garden.            ,750,food,25-Nov-16,3,1.732050808,food,25-Nov-16
"A Syrian artist created a ""Statue of Liberty"" made from the rubble collected in war-torn Aleppo.",150,fauxtography,23-Oct-16,4,2,fauxtography,23-Oct-16
A teacher's ad hoc class assignment is kept and treasured by her students.             ,750,glurge_gallery,8-Feb-99,5,2.236067977,glurge_gallery,8-Feb-99
A team of four Nigerian girls has created a generator that produces six hours of electricity using only a single liter of urine as fuel.            ,450,science,17-Oct-16,10,3.16227766,science,17-Oct-16
A teen boy died after participating in a 60-minute masturbation challenge.            ,150,fake_news,4-May-16,3,1.732050808,fake_news,4-May-16
A teenaged Laura Bush caused the death of a classmate in an automobile accident.            ,750,political_news,15-Sep-04,4,2,political_news,15-Sep-04
"A teenager known as the ""Catch Me Outside Girl"" due to an appearance on the 'Dr Phil Show' was arrested for prostitution.",150,fake_news,24-Feb-17,1,1,fake_news,24-Feb-17
"A teenager named Hector Cruz contracted herpes by participating in the ""condom challenge"" social media trend.            ",150,fake_news,22-Dec-15,5,2.236067977,fake_news,22-Dec-15
A teenager was stabbed after accidentally wandering into a bad neighborhood while playing the new 'Pokemon Go' app.,150,fake_news,7-Jul-16,1,1,fake_news,7-Jul-16
A Tennessee boy died in the arms of a local man portraying Santa Claus during a hospital visit.            ,300,glurge_gallery,13-Dec-16,7,2.645751311,glurge_gallery,13-Dec-16
A Texas death row inmate requested he be served a child as his last meal.            ,150,fake_news,23-Sep-14,3,1.732050808,fake_news,23-Sep-14
A Texas man found a dead rat in a partially consumed bottle of Dr Pepper.            ,300,fauxtography,11-May-16,3,1.732050808,fauxtography,11-May-16
A Texas man was forced to take his American flag down because its display threatened Muslims.,300,politics,10-Feb-16,2,1.414213562,politics,10-Feb-16
A tornado carried a mobile home for 130 miles  and left its occupants unharmed.            ,150,fake_news,23-Aug-16,2,1.414213562,fake_news,23-Aug-16
A Toronto film crew returning from a break found their intentionally garbage-strewn street had been cleaned by sanitation workers.  [Urban Legend]            ,0,entertainment,25-Mar-00,1,1,entertainment,25-Mar-00
A tote bag bears a slogan poking fun at people who fear Arabic writing.            ,750,fauxtography,17-Aug-16,8,2.828427125,fauxtography,17-Aug-16
A town in Belgium was forced to remove a nativity scene to avoid offending four Muslim residents.,300,politics,20-Dec-16,1,1,politics,20-Dec-16
A tradition of celebrating Veterans Day with ravioli dinners was initiated by President Woodrow Wilson in 1919.            ,150,holidays,7-Nov-12,4,2,holidays,7-Nov-12
A transcript documents that Donald Trump gave a self-aggrandizing toast at his daughter Ivanka's wedding.,150,fake_news,30-Sep-16,2,1.414213562,fake_news,30-Sep-16
A transcript reproduces '60 Minutes' commentator Andy Rooney's explaining his political views.            ,150,political_news,21-Apr-03,3,1.732050808,political_news,21-Apr-03
A transgender woman was arrested to taking pictures of underage girls at a Target in Dallas.,150,fake_news,27-Apr-16,1,1,fake_news,27-Apr-16
A transgender woman was shot to death in the bathroom of a Colorado department store.            ,150,fake_news,16-May-16,3,1.732050808,fake_news,16-May-16
"A treatment for a serious disease that costs $900 in India is sold for $84,000 in the United States because of corporate greed.            ",600,medical,2-May-16,18,4.242640687,medical,2-May-16
"A truck carrying a shipment of Samsung smartphones exploded, killing three people.",150,fake_news,14-Sep-16,3,1.732050808,fake_news,14-Sep-16
A Trump staffer was convicted on ten counts of felony election fraud in November 2016.            ,300,politics,1-Dec-16,8,2.828427125,politics,1-Dec-16
A turtle grew into an odd shape after being trapped in a rubber band for years.,600,fauxtography,3-Jan-17,2,1.414213562,fauxtography,3-Jan-17
A tweet reproduces a 90-second long sentence from a Donald Trump speech.            ,750,politics,17-Aug-16,7,2.645751311,politics,17-Aug-16
"A U.N. small arms treaty signed by the U.S. provides a ""legal way around the 2nd Amendment.""            ",150,political_news,23-May-10,5,2.236067977,political_news,23-May-10
A UFO portal was filmed over the Large Hadron Collider.            ,150,fauxtography,8-Jan-16,4,2,fauxtography,8-Jan-16
A United States Army training slide labeled Hillary Clinton as an insider threat.,450,politics,24-Aug-16,3,1.732050808,politics,24-Aug-16
A vacationing couple staying in a foul-smelling motel room later discover a body hidden under their bed.,750,horrors,13-Jun-99,1,1,horrors,13-Jun-99
"A van full of ""illegals"" traveled from voting booth to voting booth in Arizona in order to vote (illegally) for Hillary Clinton.",150,politics,8-Nov-16,7,2.645751311,politics,8-Nov-16
A variety of superstitions are associated with New Year's Day.,750,holidays,1-Jan-03,1,1,holidays,1-Jan-03
"A veterinary pathologist testified that being immersed in a can of Mountain Dew would turn a mouse into a ""jelly-like"" substance.            ",750,cokelore,22-Jul-14,3,1.732050808,cokelore,22-Jul-14
A video captures a large spider that survived inside a banana until it burst out of the peel by its own power.,150,entertainment,20-Sep-16,6,2.449489743,entertainment,20-Sep-16
A video clip shows a Budweiser tribute to the victims of 9/11 that was only aired once.            ,750,september_11th,21-Sep-07,1,1,september_11th,21-Sep-07
A video clip shows a meteorite striking a pickup truck in the desert.            ,150,fauxtography,16-Nov-05,3,1.732050808,fauxtography,16-Nov-05
A video clip shows a subsequently suppressed Fox News broadcast about Barack Obama.            ,150,political_news,14-Jul-14,7,2.645751311,political_news,14-Jul-14
A video clip shows Barack Obama acknowledging that he is not a natural-born  U.S. citizen.            ,150,political_news,4-Dec-10,3,1.732050808,political_news,4-Dec-10
"A video depicts a Chinese vendor making ""synthetic cabbages"" for sale in American restaurants and supermarkets.            ",150,fauxtography,1-Sep-16,5,2.236067977,fauxtography,1-Sep-16
A video depicts a Muslim woman fraudulently using food stamps to purchase soda to resell at her store.            ,450,fauxtography,30-Sep-16,8,2.828427125,fauxtography,30-Sep-16
A video depicts a young woman's struggling to open a can of Spaghetti-Os as a crowd watches and cheers her eventual hard-won victory.            ,150,fauxtography,24-Aug-16,4,2,fauxtography,24-Aug-16
A video depicts angry Muslims in Western mall tearing down a Christmas tree because it offended them.            ,150,fauxtography,15-Nov-16,51,7.141428429,fauxtography,15-Nov-16
A video documents that The Simpsons anticipated in 2000 how Donald Trump would announce his presidential candidacy in 2015.            ,150,entertainment,24-Sep-15,2,1.414213562,entertainment,24-Sep-15
A video investigation showed that Planned Parenthood lies about providing prenatal care.            ,300,politics,25-Jan-17,21,4.582575695,politics,25-Jan-17
A video report from CNN shows Donald Trump purchasing a car and two children.            ,150,fauxtography,20-Oct-16,1,1,fauxtography,20-Oct-16
"A video showcasing footage of violent refugees features audio of Donald Trump reciting the lyrics to a song entitled ""The Snake.""            ",600,fauxtography,29-Apr-16,4,2,fauxtography,29-Apr-16
"A video showing an airplane losing altitude and then crashing in Pakistan is ""disappearing from the Internet.""",450,viral_phenomena,14-Dec-16,3,1.732050808,viral_phenomena,14-Dec-16
A video showing an inconsolable protester wailing because a policeman popped her balloon.,150,politics,20-Nov-16,2,1.414213562,politics,20-Nov-16
A video showing highly censored female athletes competing in the 2016 Olympics was broadcast by the Iranian Sports Channel.,150,fauxtography,20-Aug-16,2,1.414213562,fauxtography,20-Aug-16
"A video shows a ""7D Hologram"" of a whale inside a school gymnasium.",150,fauxtography,17-Feb-16,3,1.732050808,fauxtography,17-Feb-16
"A video shows a ""mysterious rain"" all falling in ""one spot.""            ",150,fauxtography,31-May-16,4,2,fauxtography,31-May-16
"A video shows a ""Pizzagate"" survivor recounting her story of sexual abuse.",150,politics,13-Dec-16,3,1.732050808,politics,13-Dec-16
"A video shows a ""Stairway to Heaven"" fireworks display.",750,fauxtography,7-Jul-16,4,2,fauxtography,7-Jul-16
A video shows a 50-foot-long giant squid that washed up on a beach in New Zealand in 2015.,150,fauxtography,1-Dec-16,2,1.414213562,fauxtography,1-Dec-16
A video shows a ball of fire streaking across the sky at the same moment an Air Egypt flight went missing.,150,fauxtography,19-May-16,3,1.732050808,fauxtography,19-May-16
"A video shows a chimpanzee rapidly memorizing the location of numbers from 1-9 on a touch screen, demonstrating its ability to recall their location by tapping (in sequential order) boxes that covered those numbers after a fraction of a second.            ",600,science,4-Sep-16,13,3.605551275,science,4-Sep-16
A video shows a Disney Princess in Tokyo with a dress that changes color at will.            ,150,fauxtography,31-Aug-16,4,2,fauxtography,31-Aug-16
A video shows a driverless Uber running a red light in San Francisco.,450,fauxtography,14-Dec-16,5,2.236067977,fauxtography,14-Dec-16
A video shows a giant alligator walking across a Florida golf course.            ,750,fauxtography,31-May-16,6,2.449489743,fauxtography,31-May-16
"A video shows a glass jar being cut with nothing more than water, oil and heat.            ",0,fauxtography,21-Apr-16,6,2.449489743,fauxtography,21-Apr-16
A video shows a group of citizens teaching a lesson to person who parked illegally in a handicapped parking spot.            ,450,fauxtography,10-Feb-16,3,1.732050808,fauxtography,10-Feb-16
A video shows a group of giraffes trained to jump from a high dive.            ,150,fauxtography,23-Feb-16,4,2,fauxtography,23-Feb-16
A video shows a group of high school students hatching a chick that developed outside an eggshell for the first time in history.,450,politics,6-Jun-16,1,1,politics,6-Jun-16
"A video shows a group of 'radical' Muslims rallying around a painting of Jesus' decapitated head in Dearborn, Michigan.            ",150,fauxtography,25-Jun-16,2,1.414213562,fauxtography,25-Jun-16
A video shows a group of whales coming to the surface after hearing an orchestra playing music.            ,150,fauxtography,21-Apr-16,7,2.645751311,fauxtography,21-Apr-16
A video shows a hawk snatching up a snake and dropping it amidst a family's barbecue.,150,fauxtography,1-Sep-16,1,1,fauxtography,1-Sep-16
A video shows a hunter getting attacked by a lion while posing with a recent kill.            ,150,fauxtography,9-Jun-16,1,1,fauxtography,9-Jun-16
A video shows a man angrily renouncing his faith on Egyptian national television.            ,150,fauxtography,5-Jul-16,2,1.414213562,fauxtography,5-Jul-16
A video shows a Megaladon Shark at the bottom of the Mariana Trench.,150,fauxtography,5-Oct-16,2,1.414213562,fauxtography,5-Oct-16
A video shows a monkey that was severely injured at a L'Oreal cosmetics testing facility.,150,critter_country,16-Mar-17,6,2.449489743,critter_country,16-Mar-17
A video shows a mother forcibly shaving her daughter's head as punishment for making fun of a bald cancer patient.,300,fauxtography,11-Jun-16,2,1.414213562,fauxtography,11-Jun-16
A video shows a Muslim man kicking a woman down a set of stairs.,300,politics,13-Dec-16,6,2.449489743,politics,13-Dec-16
A video shows a Muslim man slapping a Christian woman.,150,fauxtography,12-Dec-16,3,1.732050808,fauxtography,12-Dec-16
A video shows a Muslim refugees rioting and taking over an area in France.,300,fauxtography,15-Feb-17,3,1.732050808,fauxtography,15-Feb-17
A video shows a mysterious UFO over an airport in Turkey.            ,150,fauxtography,22-Jul-16,5,2.236067977,fauxtography,22-Jul-16
A video shows a plan  a plane crash-landing on a beach.,150,fauxtography,11-Aug-16,1,1,fauxtography,11-Aug-16
A video shows a real dragon that fell from the sky in Tibet.,150,fauxtography,22-Aug-16,1,1,fauxtography,22-Aug-16
A video shows a real farm that gets rainbow cheese from rainbow cows.            ,150,fauxtography,19-Aug-16,5,2.236067977,fauxtography,19-Aug-16
A video shows a 'self-driving bicycle' created by Google.,150,fauxtography,30-Apr-16,2,1.414213562,fauxtography,30-Apr-16
A video shows a shark attacking a surfer.            ,150,fauxtography,30-Aug-16,3,1.732050808,fauxtography,30-Aug-16
A video shows a snowboarder being chased by a bear.            ,300,fauxtography,11-Apr-16,4,2,fauxtography,11-Apr-16
A video shows a suicide bomber exploding after falling off a skateboard.,150,fauxtography,26-Jul-16,1,1,fauxtography,26-Jul-16
A video shows a surfer being towed by a great white shark.            ,150,critter_country,9-Mar-16,4,2,critter_country,9-Mar-16
A video shows a time-traveling spectator using a camera phone to take photographs at a Mike Tyson fight back in 1995.            ,150,fauxtography,30-Apr-16,6,2.449489743,fauxtography,30-Apr-16
A video shows a woman named Acesha Bright committing Murder.,150,fauxtography,19-Feb-17,6,2.449489743,fauxtography,19-Feb-17
A video shows a woman stabbingÂ her baby to death to gain revenge on her boyfriend.,150,fauxtography,28-Oct-15,3,1.732050808,fauxtography,28-Oct-15
"A video shows an ""army-style Muslim migrants"" marching in Germany to show their ""willingness to fight.""",150,fauxtography,1-Dec-16,7,2.645751311,fauxtography,1-Dec-16
A video shows an airport worker destroying a plane after they were fired.            ,450,fauxtography,27-Apr-16,3,1.732050808,fauxtography,27-Apr-16
"A video shows an alien that was caught in southern India, near the shared border of Kerala and Karnataka states.",150,fauxtography,12-Dec-16,5,2.236067977,fauxtography,12-Dec-16
"A video shows Anderson Cooper laughing uncontrollably after Kellyanne Conway used the phrase ""alternative facts.""",150,fauxtography,6-Feb-17,2,1.414213562,fauxtography,6-Feb-17
"A video shows Bill Clinton saying that his wife Hillary Clinton ""communed"" with the spirit of Eleanor Roosevelt.",600,politics,7-Nov-16,6,2.449489743,politics,7-Nov-16
A video shows Black Lives Matter protesters in Charlotte attacking and beating a homeless vet.            ,150,politics,26-Sep-16,4,2,politics,26-Sep-16
A video shows bystanders at Walmart doing nothing to intervene when a man experiencing a seizure is robbed of his wallet.,450,viral_phenomena,16-Jan-17,1,1,viral_phenomena,16-Jan-17
"A video shows Chelsea, Bill, and Hillary Clinton prematurely celebrating a presidential election victory on 8 November 2016.",300,fauxtography,19-Dec-16,4,2,fauxtography,19-Dec-16
A video shows Coretta Scott King thanking Jeff Sessions during her remarks at the dedication of the Rosa Parks Library.,300,politics,9-Feb-17,6,2.449489743,politics,9-Feb-17
A video shows Dutch politician Tunahan Kuzu putting a grilled cheese in his pocket before an interview.,150,fauxtography,18-Mar-17,6,2.449489743,fauxtography,18-Mar-17
A video shows federal troops in armored vehicles patrolling the streets of Chicago on President Trump's orders.,150,fauxtography,16-Feb-17,5,2.236067977,fauxtography,16-Feb-17
"A video shows Hillary Clinton laughing as the words ""under God"" were removed from the Pledge of Allegiance.",450,politics,26-Oct-16,1,1,politics,26-Oct-16
A video shows hundreds of people getting knocked over by a giant rotating bar.,150,fauxtography,9-Jan-17,2,1.414213562,fauxtography,9-Jan-17
A video shows Israeli Prime Minister Benjamin Netanyahu telling Hillary Clinton that he wants to maximize civilian casualties.            ,150,fauxtography,29-Apr-16,3,1.732050808,fauxtography,29-Apr-16
A video shows Koko the gorilla spontaneously using sign language to issue a warning about climate change.,150,politics,6-Jan-16,6,2.449489743,politics,6-Jan-16
A video shows Muslim men auctioning off women on the streets of England.            ,150,fauxtography,2-Jun-16,2,1.414213562,fauxtography,2-Jun-16
A video shows Muslims rampaging through Paris.            ,150,politics,27-May-16,3,1.732050808,politics,27-May-16
"A video shows Oscar, the world's first modular life form.            ",150,fauxtography,16-Apr-16,5,2.236067977,fauxtography,16-Apr-16
A video shows the chief Iranian nuclear negotiator appearing on television and candidly reflecting on the negotiating process with the U.S.,150,politics,10-Jul-16,3,1.732050808,politics,10-Jul-16
"A video shows the first person to climb ""the Bean"" in Chicago.            ",150,fauxtography,29-Feb-16,4,2,fauxtography,29-Feb-16
A video shows two hikers walking on a lake of crystal clear ice.            ,750,fauxtography,13-Dec-14,2,1.414213562,fauxtography,13-Dec-14
A video shows two Muslim men threatening people with a stun gun after seeing bikini-clad women.            ,300,fauxtography,20-Jun-16,1,1,fauxtography,20-Jun-16
"A video surfaced in October 2016 showing President Obama demanding ""ribs and pussy.""            ",300,politics,8-Oct-16,3,1.732050808,politics,8-Oct-16
A vintage advertisement features a young boy eating a stick of butter.,150,fauxtography,2-Feb-17,4,2,fauxtography,2-Feb-17
A vintage photograph shows a common workplace item from the 1960s: A whisky vending machine.            ,450,fauxtography,5-Feb-16,2,1.414213562,fauxtography,5-Feb-16
"A viral e-mail claiming that Muslims can't be good Americans because they worship a ""moon God"" is a quote from former GOP presidential candidate Ben Carson.",150,politics,17-Aug-16,3,1.732050808,politics,17-Aug-16
"A viral quote criticizing Bernie Sanders for saying that the Democratic party was not ""progressive"" enough originated with Barney Frank.            ",150,politics,10-Jun-16,2,1.414213562,politics,10-Jun-16
A viral video shows a man punching a kangaroo in the face to save his dog.,750,critter_country,6-Dec-16,6,2.449489743,critter_country,6-Dec-16
A viral video shows a newborn baby delivered inside an intact amniotic sac.            ,750,medical,7-Sep-16,6,2.449489743,medical,7-Sep-16
A Virginia lawmaker proposed a bill that mandates on-site physical examinations of children's genitals to determine which gendered bathroom they're authorized to use.            ,450,politics,13-Jan-16,6,2.449489743,politics,13-Jan-16
"A virus is circulating with the name ""Black in the White House"" (aka ""Black Muslim in the White House"").            ",150,computers,4-Aug-10,3,1.732050808,computers,4-Aug-10
A visually impaired man strangled his girlfriend because she was unable to make eye contact with him.            ,150,fake_news,11-Dec-15,2,1.414213562,fake_news,11-Dec-15
A web site allows criminals to look up the personal information of police officers.            ,600,crime,10-Jan-17,3,1.732050808,crime,10-Jan-17
"A well-known celebrity is moving to your town after briefly visiting and discovering ""people were people,"" ""whose sincerity you didnâ€™t have to question.""            ",150,fake_news,4-Mar-16,1,1,fake_news,4-Mar-16
A white man was beaten by a group of black people for voting Trump.,450,politics,10-Nov-16,3,1.732050808,politics,10-Nov-16
A white teen girl claimed she was entitled to tribal benefits because she identifies as a Native American elder.            ,150,fake_news,24-May-16,6,2.449489743,fake_news,24-May-16
"A WikiLeaks' DNC e-mail dump captured Democratic staffers referring to voters in Pennsylvania and Ohio as ""white trash"" and ""stupid.""            ",150,fake_news,19-Sep-16,4,2,fake_news,19-Sep-16
A woman ate her grandchild after smoking bath salts.,150,fake_news,14-Apr-16,3,1.732050808,fake_news,14-Apr-16
A woman caused a ten-car pileup after she believed she saw Jesus' image in her Kit Kat bar.            ,150,fake_news,5-May-16,3,1.732050808,fake_news,5-May-16
A woman defecated on her boss' desk after winning the lottery.            ,150,fake_news,26-Apr-16,3,1.732050808,fake_news,26-Apr-16
A woman discovered that her infant's powdered Similac formula was infested with maggots.            ,0,food,22-Sep-16,4,2,food,22-Sep-16
A woman gave birth to twins in a casket after her husband buried her alive.            ,150,fake_news,17-May-16,1,1,fake_news,17-May-16
A woman had a dead kitten surgically removed from her vagina after inserting it to simulate the feeling of being pregnant.            ,150,fake_news,19-Sep-16,1,1,fake_news,19-Sep-16
A woman in Idaho was sentenced to seven years in prison for breastfeeding in public.            ,150,fake_news,4-Sep-16,1,1,fake_news,4-Sep-16
A woman managed to call 911 during a domestic abuse incident by pretending to order a pizza.            ,0,crime,3-Feb-15,3,1.732050808,crime,3-Feb-15
A woman named Amanda spared her child from blatant human trafficking agents in a checkout line.            ,300,crime,25-Feb-16,7,2.645751311,crime,25-Feb-16
"A woman named Cassidy Boon is suing the man who saved her from drowning, claiming he raped her.",150,fake_news,29-Sep-15,4,2,fake_news,29-Sep-15
A woman named Catherine Elizabeth Clennan is genuinely seeking several million dollars via GoFundMe to live her dream life.            ,300,viral_phenomena,28-Dec-16,3,1.732050808,viral_phenomena,28-Dec-16
"A woman performed her own abortion with a ""U-Abort Itâ„¢"" attachment for her AR-15.            ",150,fake_news,21-Jun-16,2,1.414213562,fake_news,21-Jun-16
"A woman pulled a Muslim woman's hijab inside a Walmart and told her, ""Go hang yourself with it around your neck.""            ",150,political_news,10-Nov-16,8,2.828427125,political_news,10-Nov-16
A woman saved multiple lives by using her concealed carry pistol to take down a department store shooter in Virginia.,150,fake_news,25-Sep-16,2,1.414213562,fake_news,25-Sep-16
A woman set a Guinness World Record for having 14 kids with 14 different fathers.            ,150,fake_news,19-Feb-16,5,2.236067977,fake_news,19-Feb-16
A woman stabbed her boyfriend because he attempted to sexually gratify himself using a raw turkey.            ,150,fake_news,29-Nov-16,4,2,fake_news,29-Nov-16
A woman sued a radio station when the Hummer she won in their contest turned out to be a toy rather than a full-sized vehicle.,750,business,19-Jul-05,2,1.414213562,business,19-Jul-05
A woman was arrested after police discovered she was killing her neighbors' cats to make fur coats from them.,150,media_matters,7-Jan-15,1,1,media_matters,7-Jan-15
A woman was arrested for masturbating with a Happy Meal toy inside a McDonald's play area ball pit.            ,150,fake_news,2-May-16,2,1.414213562,fake_news,2-May-16
A woman was injured while trying to steal fireworks from Walmart by hiding them in her vagina.,150,fake_news,6-Jul-16,2,1.414213562,fake_news,6-Jul-16
A woman was nearly kidnapped by human traffickers using a ring placed on her windshield as bait.            ,300,crime,20-Jul-16,8,2.828427125,crime,20-Jul-16
"A woman was raped and murdered in Turkey during a trek for ""world peace.""            ",450,crime,23-Feb-16,5,2.236067977,crime,23-Feb-16
"A woman who appeared in New York after Hillary Clinton left a 9/11 memorial service for medical reasons was body double Teresa Barnwell, not Clinton herself.            ",150,fauxtography,12-Sep-16,19,4.358898944,fauxtography,12-Sep-16
A woman who grabbed a baseball away from a child at an Astros game was identified as child psychologist Grennele Brashkowitz.            ,150,fauxtography,24-Jul-16,4,2,fauxtography,24-Jul-16
A woman who used a recalled brand of tampons saw herself become infested with ants and had to be treated with a grotesque fungus that turned those ants into zombies.            ,150,fauxtography,17-Oct-16,6,2.449489743,fauxtography,17-Oct-16
A woman's IQ skyrocketed to an historic 220 after she drank sperm or semen for a year.            ,150,fake_news,21-Nov-16,5,2.236067977,fake_news,21-Nov-16
A woman's obituary said that she chose death over the prospect of voting for either Donald Trump or Hillary Clinton.            ,750,humor,18-May-16,4,2,humor,18-May-16
A young boy named Dakota was air lifted to the hospital after having a seizure.            ,600,inboxer_rebellion,21-Dec-16,5,2.236067977,inboxer_rebellion,21-Dec-16
